Project number,The data,Region,Granted support,Electricity consumption of the grid,Primary energy consumption before ,Current inverter set power,Inverter power in project,Electricity produced by solar panels,Primary energy consumption after ,Reduction of primary energy,CO2 emissions reduction
PME2-929,18.07.2022,Rīga,2500,3.54,8.85,0,5,5.34,0.84,8.01,0.58
PME2-933,18.07.2022,Latgale,4000,1419.4,3548.5,0,10,9.6,3534.1,14.4,1.05
PME2-935,18.07.2022,Rīga,2800,3.3,8.25,0,6,6,-0.75,9,0.65
PME2-848,18.07.2022,Rīga,3500,5.47,13.68,0,8,9.24,-0.19,13.86,1.01
PME2-925,17.07.2022,Zemgale,4000,8.5,21.25,0,10,6.58,11.38,9.87,0.72
PME2-927,17.07.2022,Rīga,3500,8.16,20.4,0,8,7.45,9.23,11.18,0.81
PME2-931,17.07.2022,Kurzeme,2800,4.58,11.45,0,6,3.42,6.32,5.13,0.37
PME2-762,15.07.2022,Zemgale,2800,4.57,11.43,0,6,5.3,3.48,7.95,0.58
PME2-857,15.07.2022,Rīga,4000,3.9,9.75,0,10,9.63,-4.7,14.45,1.05
PME2-852,15.07.2022,Rīga,3500,8.21,20.53,0,8,9.75,5.9,14.63,1.06
PME2-870,14.07.2022,Rīga,3500,6.53,16.33,0,8.58,8.75,3.2,13.13,0.95
PME2-909,14.07.2022,Rīga,2200,17.38,43.45,6,10,10.27,28.05,15.41,1.12
PME2-899,13.07.2022,Zemgale,4000,6.96,17.4,0,10,10.34,1.89,15.51,1.13
PME2-828,13.07.2022,Kurzeme,3200,2.76,6.9,0,7,7,-3.6,10.5,0.76
PME2-910,13.07.2022,Rīga,2800,6.3,15.75,0,6,4.71,8.69,7.07,0.51
PME2-907,13.07.2022,Rīga,4000,9.29,23.23,0,10,10,8.23,15,1.09
PME2-843,13.07.2022,Rīga,4000,4.79,11.98,0,11.1,7.5,0.73,11.25,0.82
PME2-898,12.07.2022,Rīga,4000,13.76,34.4,0,10,10.92,18.02,16.38,1.19
PME2-896,12.07.2022,Rīga,2500,4.41,11.03,0,5.6,5.04,3.47,7.56,0.55
PME2-894,12.07.2022,Kurzeme,2800,4.93,12.33,0,6,5.94,3.42,8.91,0.65
PME2-292,12.07.2022,Rīga,4000,6.5,16.25,0,11,10,1.25,15,1.09
PME2-866,11.07.2022,Rīga,4000,3.74,9.35,0,10,10.8,-6.85,16.2,1.18
PME2-889,11.07.2022,Rīga,4000,15.72,39.3,0,10,11.42,22.17,17.13,1.24
PME2-450,11.07.2022,Rīga,3500,6.4,16,0,8.1,7.65,4.53,11.48,0.83
PME2-890,11.07.2022,Rīga,2500,6,15,0,5.55,5,7.5,7.5,0.55
PME2-731,11.07.2022,Rīga,4000,3.81,9.53,0,10,9,-3.98,13.5,0.98
PME2-886,11.07.2022,Rīga,2800,3.9,9.75,0,6,4.78,2.58,7.17,0.52
PME2-216,10.07.2022,Rīga,2800,3.66,9.15,0,6,5.5,0.9,8.25,0.6
PME2-864,10.07.2022,Kurzeme,2800,6.91,17.28,0,6,6,8.28,9,0.65
PME2-878,08.07.2022,Rīga,2800,5.15,12.88,0,6,6.75,2.75,10.13,0.74
PME2-874,07.07.2022,Rīga,4000,5.9,14.75,0,10,10.9,-1.6,16.35,1.19
PME2-877,07.07.2022,Vidzeme,2500,6.14,15.35,0,5.5,5,7.85,7.5,0.55
PME2-859,07.07.2022,Rīga,3500,6.03,15.08,0,8,7.65,3.6,11.48,0.83
PME2-706,07.07.2022,Rīga,3800,9.07,22.68,0,9.6,9.21,8.86,13.82,1
PME2-867,07.07.2022,Rīga,4000,7.12,17.8,0,10,8.89,4.47,13.34,0.97
PME2-728,15.06.2022,Rīga,3500,3.95,9.88,0,8,8,-2.13,12,0.87
PME2-850,05.07.2022,Latgale,3800,4.5,11.25,0,9.6,9,-2.25,13.5,0.98
PME2-860,05.07.2022,Rīga,4000,7.01,17.53,0,10.1,7,7.03,10.5,0.76
PME2-855,05.07.2022,Rīga,2800,4.98,12.45,0,6,6.17,3.2,9.26,0.67
PME2-675,04.07.2022,Rīga,2800,2.69,6.73,0,6,5.47,-1.48,8.21,0.6
PME2-851,04.07.2022,Rīga,3500,8.6,21.5,0,8,8,9.5,12,0.87
PME2-840,01.07.2022,Rīga,3500,7.75,19.38,0,8.2,8.6,6.48,12.9,0.94
PME2-577,01.07.2022,Zemgale,3500,6.72,16.8,0,8.2,8.2,4.5,12.3,0.89
PME2-844,01.07.2022,Rīga,3500,6.05,15.13,0,8,8,3.13,12,0.87
PME2-841,01.07.2022,Kurzeme,1800,5.05,12.63,0,3.68,3.68,7.11,5.52,0.4
PME2-842,01.07.2022,Kurzeme,1800,1.8,4.5,0,3,3,0,4.5,0.33
PME2-837,01.07.2022,Rīga,2200,3.31,8.28,0,4.5,4.05,2.2,6.08,0.44
PME2-596,01.07.2022,Rīga,4000,8.03,20.08,0,10,8.3,7.63,12.45,0.9
PME2-835,30.06.2022,Rīga,4000,12.38,30.95,0,11,11.5,13.7,17.25,1.25
PME2-836,30.06.2022,Rīga,2200,4.41,11.03,0,4,4.47,4.32,6.71,0.49
PME2-839,30.06.2022,Rīga,2800,8.05,20.13,0,6.95,7.67,8.62,11.51,0.84
PME2-811,30.06.2022,Zemgale,4000,14.42,36.05,0,11.1,10.41,20.44,15.62,1.13
PME2-830,29.06.2022,Rīga,4000,3.58,8.95,0,11.1,7.5,-2.3,11.25,0.82
PME2-819,29.06.2022,Kurzeme,3500,6.87,17.18,0,8,6.97,6.72,10.46,0.76
PME2-826,29.06.2022,Rīga,3500,8.72,21.8,0,8,7.8,10.1,11.7,0.85
PME2-825,29.06.2022,Rīga,3500,4.56,11.4,0,8,5.15,3.68,7.73,0.56
PME2-797,29.06.2022,Rīga,4000,5.71,14.28,0,10,7.8,2.58,11.7,0.85
PME2-535,28.06.2022,Zemgale,4000,5.13,12.83,0,11,11,-3.68,16.5,1.2
PME2-821,28.06.2022,Rīga,2800,3.63,9.08,0,6,5.47,0.87,8.21,0.6
PME2-284,28.06.2022,Rīga,4000,3.31,8.28,0,10,8.77,-4.88,13.16,0.96
